match_id,datetime,league,home_team_id,home_team_name,home_team_name_short,away_team_id,away_team_name,away_team_name_short,home_team_goals,away_team_goals,home_team_xG,away_team_xG,win_forecast,draw_forecast,loss_forecast
2,2024-09-28 14:00:00,EPL,80,Chelsea,CHE,220,Brighton,BRI,4,2,3.65839,1.20712,0.8777,0.0846,0.0377
2,2024-09-28 16:30:00,EPL,229,Wolverhampton Wanderers,WOL,87,Liverpool,LIV,1,2,0.748925,2.11724,0.0583,0.1722,0.7695
2,2024-09-29 13:00:00,EPL,285,Ipswich,IPS,71,Aston Villa,AVL,2,2,1.84608,1.14494,0.5579,0.2508,0.1913
2,2024-09-29 15:30:00,EPL,89,Manchester United,MUN,82,Tottenham,TOT,0,3,0.600721,5.4072,0.0007,0.0037,0.9956
2,2024-09-30 19:00:00,EPL,73,Bournemouth,BOU,74,Southampton,SOU,3,1,1.44215,0.696068,0.5743,0.2732,0.1525
2,2024-10-05 11:30:00,EPL,78,Crystal Palace,CRY,87,Liverpool,LIV,0,1,0.609481,2.07332,0.0716,0.1652,0.7632
2,2024-10-05 14:00:00,EPL,75,Leicester,LEI,73,Bournemouth,BOU,1,0,0.912063,1.94963,0.1209,0.225,0.6541
2,2024-10-05 14:00:00,EPL,88,Manchester City,MCI,228,Fulham,FLH,3,2,1.36684,2.75846,0.1266,0.1656,0.7078
2,2024-10-05 14:00:00,EPL,81,West Ham,WHU,285,Ipswich,IPS,4,1,4.39402,1.18463,0.9499,0.0394,0.0107
2,2024-10-05 14:00:00,EPL,83,Arsenal,ARS,74,Southampton,SOU,3,1,3.25165,1.27313,0.8063,0.1259,0.0678
2,2024-10-05 14:00:00,EPL,244,Brentford,BRE,229,Wolverhampton Wanderers,WOL,5,3,4.13513,0.696254,0.9617,0.03,0.0083
2,2024-10-05 16:30:00,EPL,72,Everton,EVE,86,Newcastle United,NEW,0,0,0.692214,1.79048,0.0811,0.2469,0.672
2,2024-10-06 13:00:00,EPL,80,Chelsea,CHE,249,Nottingham Forest,NOT,1,1,2.27752,1.66654,0.5362,0.2216,0.2422
2,2024-10-06 13:00:00,EPL,71,Aston Villa,AVL,89,Manchester United,MUN,0,0,0.532809,0.448537,0.2909,0.4681,0.241
2,2024-10-06 15:30:00,EPL,220,Brighton,BRI,82,Tottenham,TOT,3,2,1.97217,1.09279,0.6114,0.2216,0.167
